,Дата,Горизонт,Температура,"прозрачность, м",Chl_a,,
507,1951-10-29 00:00:00,50,"5,3",,,,
508,1951-10-29 00:00:00,100,"5,2",,,,
509,1951-10-29 00:00:00,250,4,,,,
510,1951-11-23 00:00:00,0,"3,6",,,,
511,1951-11-23 00:00:00,25,"3,4",,,,
512,1951-11-23 00:00:00,50,"3,4",,,,
513,1951-11-23 00:00:00,100,"4,1",,,,
514,1951-11-23 00:00:00,250,"3,88",,,,
515,1951-12-17 00:00:00,0,"3,6",,,,
516,1951-12-17 00:00:00,25,"3,4",,,,
517,1951-12-17 00:00:00,50,"3,6",,,,
518,1951-12-17 00:00:00,100,"3,8",,,,
519,1951-12-17 00:00:00,250,"4,2",,,,
520,1952-02-06 00:00:00,0,"0,2",,,,
521,1952-02-06 00:00:00,25,"0,6",,,,
522,1952-02-06 00:00:00,50,"1,6",,,,
523,1952-02-06 00:00:00,100,3,,,,
524,1952-02-06 00:00:00,250,"3,5",,,,
525,1952-02-11 00:00:00,0,"0,2",,,,
526,1952-02-11 00:00:00,25,"0,6",,,,
527,1952-02-11 00:00:00,50,"1,6",,,,
528,1952-02-11 00:00:00,100,3,,,,
529,1952-02-11 00:00:00,250,"3,5",,,,
530,1952-02-22 00:00:00,0,"0,2",,,,
531,1952-02-22 00:00:00,25,"0,5",,,,
532,1952-02-22 00:00:00,50,"1,5",,,,
533,1952-02-22 00:00:00,100,"2,7",,,,
534,1952-02-22 00:00:00,250,"3,5",,,,
535,1952-03-12 00:00:00,0,"0,7",,,,
536,1952-03-12 00:00:00,25,"0,8",,,,
537,1952-03-12 00:00:00,50,"1,3",,,,
538,1952-03-12 00:00:00,100,"3,2",,,,
539,1952-03-12 00:00:00,250,"3,6",,,,
540,1952-03-24 00:00:00,0,"0,6",,,,
541,1952-03-24 00:00:00,25,"1,4",,,,
542,1952-03-24 00:00:00,50,2,,,,
543,1952-03-24 00:00:00,100,"2,9",,,,
544,1952-03-24 00:00:00,250,"3,4",,,,
545,1952-04-20 00:00:00,0,"1,6",,,,
